Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,82125.06,7311.53,511.61,12794.39
"Beech, Terry",Burnaby North—Seymour,Liberal,65739.03,6901.53,210.56,29404.54
"Singh, Jagmeet",Burnaby South,New Democratic Party,68537.57,3831.52,0,11317.85
"Doherty, Todd",Cariboo—Prince George,Conservative,82183.46,35216.04,240.3,7061.11
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,90673.88,15244.21,90.28,26325.99
"Strahl, Mark",Chilliwack—Hope,Conservative,68429.06,5902.04,134.77,19714.11
"Jansen, Tamara",Cloverdale—Langley City,Conservative,66286.85,8278.1,399.13,27536.38
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,75591.89,5759.96,701.63,25458.33
"Johns, Gord",Courtenay—Alberni,New Democratic Party,69699.63,4937.37,0,38205.08
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,72692.05,19573.69,0,15326.73
"Qualtrough, Hon. Carla",Delta,Liberal,59347.05,30549.43,0,92005.92
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,79719.02,5239.15,0,22313.38
"Hardie, Ken",Fleetwood—Port Kells,Liberal,86384.82,16201.02,0,23971.23
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,79524.76,14924.4,0,29394.26
"Gray, Tracy",Kelowna—Lake Country,Conservative,71200.65,16578.15,51.1,14453.44
"Morrison, Rob",Kootenay—Columbia,Conservative,91052.26,16232.61,0,14641.12
"Stetski, Wayne",Kootenay—Columbia,New Democratic Party,0,0,0,94.13
"Van Popta, Tako",Langley—Aldergrove,Conservative,73426.89,11680.14,711.04,15507.29
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,87564.65,20431.25,411.7,23123.48
"Manly, Paul",Nanaimo—Ladysmith,Green Party,71051.41,9185.14,75.44,23287.49
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,74249.52,7999.4,36.23,20968.82
"Blaney, Rachel",North Island—Powell River,New Democratic Party,91017.18,17049.24,344.44,40251.12
"Arnold, Mel",North Okanagan—Shuswap,Conservative,81717.67,12163.39,260,33750.16
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,70837.92,3115.76,18.58,40172.24
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,60631.51,15354.28,127.83,19607.16
"Ruimy, Dan",Pitt Meadows—Maple Ridge,Liberal,0,0,0,10448
"Donnelly, Fin",Port Moody—Coquitlam,New Democratic Party,0,0,0,432.28
"Shin, Nelly",Port Moody—Coquitlam,Conservative,30634.94,15461.2,169.58,18931.05
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,87064.05,23750.1,155.06,32022.41
"Wong, Hon. Alice",Richmond Centre,Conservative,57460.86,6862.65,177.77,22910.41
"May, Elizabeth",Saanich—Gulf Islands,Green Party,93288.5,5031.92,0,11739.41
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,72012.38,12050.87,521.18,27726.74
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,78918,8732.09,0,19958.34
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,77800.43,17517.02,109.7,37508.7
"Chiu, Kenny",Steveston—Richmond East,Conservative,48902.26,16654.84,182.94,25596.98
"Sarai, Randeep",Surrey Centre,Liberal,55222.86,9116.58,0,29390.37
"Dhaliwal, Sukh",Surrey—Newton,Liberal,58889.32,10397.6,321.47,30144.9
"Battiste, Jaime",Sydney—Victoria,Liberal,64147.93,5490.74,239.09,16424.44
"Fry, Hon. Hedy",Vancouver Centre,Liberal,59567.56,7177.53,0,40735.88
"Kwan, Jenny",Vancouver East,New Democratic Party,74822.48,12689.63,57.72,42560.2
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,59587.2,7367.41,0,27754.12
"Davies, Don",Vancouver Kingsway,New Democratic Party,74129.74,9159.77,180.97,42551.08
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,75616.51,9480.4,116.35,22331.43
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,46285.61,16158.9,4580.55,23223.28
"Collins, Laurel",Victoria,New Democratic Party,75453.55,4890.78,0,27792.89
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,74646.67,10712.25,130,31357
