Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,55766.78,12974.27,162.95,27527.82
"Beech, Terry",Burnaby North—Seymour,Liberal,61067.78,3150,0,17438.48
"Singh, Jagmeet",Burnaby South,New Democratic Party,45224.92,9600,190.54,25474.11
"Doherty, Todd",Cariboo—Prince George,Conservative,60899.65,16222.28,333.02,6564.57
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,68436.06,8503.34,16.2,20746.69
"Strahl, Mark",Chilliwack—Hope,Conservative,57298.8,7584.36,90.05,19040.05
"Jansen, Tamara",Cloverdale—Langley City,Conservative,46703.1,10400,0,20446.29
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,52169.15,0,0,22943.3
"Johns, Gord",Courtenay—Alberni,New Democratic Party,54127.61,3249.98,319,29121.23
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,55570.1,7197.63,0,25868.65
"Qualtrough, Hon. Carla",Delta,Liberal,49085.34,7000,0,37801.8
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,57785.2,6028,0,28767.93
"Hardie, Ken",Fleetwood—Port Kells,Liberal,56308.7,9104.09,0,17880.39
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,47832.21,14323.19,0,16148.57
"Gray, Tracy",Kelowna—Lake Country,Conservative,56090.57,12327.35,0,25409.16
"Morrison, Rob",Kootenay—Columbia,Conservative,63905.09,17081.98,500.01,17080.02
"Van Popta, Tako",Langley—Aldergrove,Conservative,44527.99,14308.96,50,24984.5
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,66353.91,10077.55,224.88,16663.1
"Manly, Paul",Nanaimo—Ladysmith,Green Party,55358.25,6600,0,22202.02
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,59691.74,6940,0,28591.92
"Blaney, Rachel",North Island—Powell River,New Democratic Party,58683.89,8298.44,117.86,27823.98
"Arnold, Mel",North Okanagan—Shuswap,Conservative,57827.36,10748.84,0,20984.19
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,47767.55,7779.48,0,29369.68
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,48369.7,16316.5,216.44,26035.47
"Shin, Nelly",Port Moody—Coquitlam,Conservative,24346.86,10018.69,0,21056.3
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,68785.44,22257.84,335.31,28104.68
"Wong, Hon. Alice",Richmond Centre,Conservative,39529.8,7528.33,0,15606.79
"May, Elizabeth",Saanich—Gulf Islands,Green Party,59866.55,5032.32,0,12709.36
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,58971.82,6798.86,42.25,25754.72
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,62455.7,10255.82,0,13453.2
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,53209.73,14818.24,25.18,25453.44
"Chiu, Kenny",Steveston—Richmond East,Conservative,41301.29,8575.22,215.85,23387.06
"Sarai, Randeep",Surrey Centre,Liberal,50586.9,8800,132.82,29912.74
"Dhaliwal, Sukh",Surrey—Newton,Liberal,38525.72,8986.89,62.38,29316.31
"Battiste, Jaime",Sydney—Victoria,Liberal,51013.96,1884.09,0,23659.38
"Fry, Hon. Hedy",Vancouver Centre,Liberal,46495.61,6043.41,0,27944.28
"Kwan, Jenny",Vancouver East,New Democratic Party,53733.95,3387.26,0,25835.38
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,39098.45,4164.98,0,29163.32
"Davies, Don",Vancouver Kingsway,New Democratic Party,47272.65,7540.11,61.35,28010.09
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,47079.3,4858.47,35,19208.33
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,33942.79,10000,1552.83,24708.26
"Collins, Laurel",Victoria,New Democratic Party,53428.16,0,0,11969.63
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,64150.39,7872.53,0,21882.21
