Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,58585.9,14510.57,317.72,15394.44
"Beech, Terry",Burnaby North—Seymour,Liberal,56347.74,5904.45,117,17487.2
"Singh, Jagmeet",Burnaby South,New Democratic Party,64775.76,15446.84,0,34215.67
"Doherty, Todd",Cariboo—Prince George,Conservative,70147.26,20057.53,312.65,5528.26
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,73505.06,13480.62,246.1,25916.16
"Strahl, Mark",Chilliwack—Hope,Conservative,66831.39,12557.04,180.91,24942.86
"Jansen, Tamara",Cloverdale—Langley City,Conservative,54639.51,15683.51,0,14243.15
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,66577.17,512.18,229.38,19909.07
"Johns, Gord",Courtenay—Alberni,New Democratic Party,59742.54,16497.21,326.21,36515.19
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,62588.17,10949.88,0,20122.54
"Qualtrough, Hon. Carla",Delta,Liberal,43948.84,28667.71,76.63,28965.07
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,81186.73,10900.04,0,27200.71
"Hardie, Ken",Fleetwood—Port Kells,Liberal,66616.55,19063.09,0,16776.14
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,65814.42,17004.13,260.6,21614.07
"Gray, Tracy",Kelowna—Lake Country,Conservative,57183.15,13233.04,98.92,28106.93
"Morrison, Rob",Kootenay—Columbia,Conservative,77213.59,26032.93,0,14955.34
"Stetski, Wayne",Kootenay—Columbia,New Democratic Party,0,0,0,205.08
"Van Popta, Tako",Langley—Aldergrove,Conservative,66773.65,18496.77,108.52,20941.36
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,73599.95,17734.34,75.09,31107.82
"Manly, Paul",Nanaimo—Ladysmith,Green Party,59119.15,12090.81,95.99,28377.39
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,63834.94,9352.76,0,23405.52
"Blaney, Rachel",North Island—Powell River,New Democratic Party,76279.74,15894.96,259.24,19354.52
"Arnold, Mel",North Okanagan—Shuswap,Conservative,65317.38,16874.59,0,24282.77
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,56359.11,19885.08,208.61,36016.21
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,56239.95,33698.28,225.47,26812.5
"Shin, Nelly",Port Moody—Coquitlam,Conservative,25125.94,12791.53,0,27509.21
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,64181.9,29316.55,574.89,29879.34
"Wong, Hon. Alice",Richmond Centre,Conservative,45888.87,6094.74,294.19,31852.86
"May, Elizabeth",Saanich—Gulf Islands,Green Party,52370.36,17479.51,0,13860.15
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,58056.49,18597.56,98.5,27143.28
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,67644,16051.12,0,17025.2
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,64726.65,16449.09,362.69,32588.78
"Chiu, Kenny",Steveston—Richmond East,Conservative,39979.14,11263.06,136.19,32151.05
"Sarai, Randeep",Surrey Centre,Liberal,43646.66,6600,0,37910.49
"Dhaliwal, Sukh",Surrey—Newton,Liberal,45740.04,19897.54,0,32667.06
"Battiste, Jaime",Sydney—Victoria,Liberal,54983.94,3521.84,105.45,26369.46
"Fry, Hon. Hedy",Vancouver Centre,Liberal,47449.96,7599.22,17.48,40866.56
"Kwan, Jenny",Vancouver East,New Democratic Party,59447.53,3742.33,24.97,18594.66
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,48604.74,6115.56,0,25796.53
"Davies, Don",Vancouver Kingsway,New Democratic Party,64579.13,20693.75,0,22659.17
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,54704.01,13166.08,422.31,27064.97
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,39673.38,19912.07,87.87,25930.12
"Collins, Laurel",Victoria,New Democratic Party,65034.11,8822.72,0,15582.31
"Rankin, Murray",Victoria,New Democratic Party,0,0,0,15000
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,62496.08,10422.1,0,27790.31
