Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,58804.73,20816.62,561.36,17310.78
"Beech, Terry",Burnaby North—Seymour,Liberal,72346.86,4050,268.11,14619.3
"Singh, Jagmeet",Burnaby South,New Democratic Party,68002.66,9947.53,0,30129.5
"Doherty, Todd",Cariboo—Prince George,Conservative,67661.39,22024.83,280.49,8083.8
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,76753.69,6355.86,630.65,16046.63
"Strahl, Mark",Chilliwack—Hope,Conservative,66466.61,18051.28,562.91,17902.59
"Aldag, John",Cloverdale—Langley City,Liberal,28656.05,32197.44,452,24232.88
"Jansen, Tamara",Cloverdale—Langley City,Conservative,16479.85,5477.92,0,3930.93
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,64110.79,16975.76,1048.5,18506.15
"Johns, Gord",Courtenay—Alberni,New Democratic Party,63037.48,15884.77,171.57,20222.58
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,67429.22,21094.62,63.16,21036.17
"Qualtrough, Hon. Carla",Delta,Liberal,62847.81,5250,0,19304.63
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,67275.79,19933.59,0,22416.41
"Hardie, Ken",Fleetwood—Port Kells,Liberal,65228.65,17430.67,1279.22,20667.88
"Caputo, Frank",Kamloops—Thompson—Cariboo,Conservative,49427.34,192.49,0,16021.89
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,2386.86,7407.27,0,4822.12
"Gray, Tracy",Kelowna—Lake Country,Conservative,59515.04,12492.01,0,34867.28
"Morrison, Rob",Kootenay—Columbia,Conservative,69381.5,39778.22,0,16210.83
"Van Popta, Tako",Langley—Aldergrove,Conservative,54940.85,31081.39,0,25948.15
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,64559.12,22595.94,128.71,12903.43
"Barron, Lisa Marie",Nanaimo—Ladysmith,New Democratic Party,15326.47,4055.49,0,1582.26
"Manly, Paul",Nanaimo—Ladysmith,Green Party,20663.41,2419.42,0,1337.37
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,72874.61,7679.34,174.98,29889.58
"Blaney, Rachel",North Island—Powell River,New Democratic Party,68024.68,9719.91,87.12,18977.89
"Arnold, Mel",North Okanagan—Shuswap,Conservative,68077.26,18925.51,150,21727.46
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,50668.92,11283.33,0,29016.63
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,57641.9,15368.93,93.38,19124.81
"Shin, Nelly",Port Moody—Coquitlam,Conservative,4372.82,13691.52,0,4306.38
"Zarrillo, Bonita",Port Moody—Coquitlam,New Democratic Party,17161.36,16898.44,0,10501.3
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,62659.54,35146.91,155.8,23753.77
"Miao, Chung An Wilson",Richmond Centre,Liberal,8586.33,0,0,538.02
"Wong, Hon. Alice",Richmond Centre,Conservative,19228.86,9532.31,0,5610.53
"May, Elizabeth",Saanich—Gulf Islands,Green Party,75918.37,6770.18,0,18319.39
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,62809.76,24086.72,0,17946.84
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,74774.34,13894.43,0,12533.35
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,56006.77,20741.17,7434.42,20749.91
"Bains, Parm",Steveston—Richmond East,Liberal,12354.55,0,0,11744.97
"Chiu, Kenny",Steveston—Richmond East,Conservative,13129.03,8683.8,204.14,14484.16
"Sarai, Randeep",Surrey Centre,Liberal,66949.74,26384.17,328.46,19942.38
"Dhaliwal, Sukh",Surrey—Newton,Liberal,56570.64,24442.58,458.48,35684.66
"Battiste, Jaime",Sydney—Victoria,Liberal,61867.5,17637.38,364.29,21111.85
"Fry, Hon. Hedy",Vancouver Centre,Liberal,41206,3980.07,0,11115.36
"Kwan, Jenny",Vancouver East,New Democratic Party,60991.59,16837.79,64.12,17464.75
"Noormohamed, Taleeb",Vancouver Granville,Liberal,8670.12,0,0,16471.7
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,4523.16,8287,194.59,3246.95
"Davies, Don",Vancouver Kingsway,New Democratic Party,62736.35,21171.41,0,24586.26
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,66196.11,4908.46,80.11,15706.79
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,44119.89,12821.05,1534.8,22336.96
"Collins, Laurel",Victoria,New Democratic Party,70321.25,10551.23,80,22297.43
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,72835.11,10890.33,0,24627.4
