Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,112922.8,28388.44,422.34,16521.4
"Beech, Terry",Burnaby North—Seymour,Liberal,74593.41,23196.91,1130.45,26714.33
"Singh, Jagmeet",Burnaby South,New Democratic Party,86529.38,18081.71,250,49346.7
"Doherty, Todd",Cariboo—Prince George,Conservative,128154.6,32204.59,823.45,12544.7
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,100680.76,16429.12,586.31,28275
"Strahl, Mark",Chilliwack—Hope,Conservative,122720.05,14346.72,332.22,26053.36
"Aldag, John",Cloverdale—Langley City,Liberal,76345.68,34061.34,581.09,72084.29
"Jansen, Tamara",Cloverdale—Langley City,Conservative,0,9606.32,0,307.73
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,120927.24,21251.68,691.43,30417.65
"Johns, Gord",Courtenay—Alberni,New Democratic Party,99046.04,35654.57,214,40287.8
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,86717.64,15586.57,224.99,19900.55
"Qualtrough, Hon. Carla",Delta,Liberal,106520.9,47030.53,263.98,53787.27
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,90634.96,23489.78,0,29508.59
"Hardie, Ken",Fleetwood—Port Kells,Liberal,92586.05,18390.23,408.8,29393.41
"Caputo, Frank",Kamloops—Thompson—Cariboo,Conservative,106283.29,60413.71,398.07,33409.95
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,141.06,0,0,-136.41
"Gray, Tracy",Kelowna—Lake Country,Conservative,93590.44,23113.31,52,39853.93
"Morrison, Rob",Kootenay—Columbia,Conservative,96115.47,57424.98,0,20690.27
"Van Popta, Tako",Langley—Aldergrove,Conservative,93923.64,29668.49,478.98,18758.41
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,110442.27,29865.65,919.41,29387.52
"Barron, Lisa Marie",Nanaimo—Ladysmith,New Democratic Party,78495.13,34374.61,0,48113.36
"Manly, Paul",Nanaimo—Ladysmith,Green Party,120,471.12,0,2034.52
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,96404.77,27966.48,286.7,25508.32
"Blaney, Rachel",North Island—Powell River,New Democratic Party,109708.59,29808.32,741.57,43041.37
"Arnold, Mel",North Okanagan—Shuswap,Conservative,117238.32,20738.76,0,27981.73
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,70378.05,14101.36,0,34702.7
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,99935.89,42810.54,762.44,29433.27
"Shin, Nelly",Port Moody—Coquitlam,Conservative,0,0,41,1368.22
"Zarrillo, Bonita",Port Moody—Coquitlam,New Democratic Party,73994.82,23250.7,678.33,36380.19
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,104468.02,52121.82,728.57,38546.9
"Miao, Wilson",Richmond Centre,Liberal,30590.26,39586,1151.5,114378.1
"Wong, Hon. Alice",Richmond Centre,Conservative,0,0,0,-220.63
"May, Elizabeth",Saanich—Gulf Islands,Green Party,121645.25,25550.9,261.05,27670.16
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,93997.74,28274.84,435.04,28043.34
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,107262.5,13076.47,117.88,15196.61
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,97600.03,30844.89,624.52,28543.04
"Bains, Parm",Steveston—Richmond East,Liberal,74325.59,13547.85,2598.39,92191.58
"Chiu, Kenny",Steveston—Richmond East,Conservative,0,0,0,90.55
"Sarai, Randeep",Surrey Centre,Liberal,80146.86,23261.51,827.29,27022.72
"Dhaliwal, Sukh",Surrey—Newton,Liberal,88341.8,43274.16,1155.83,27859.07
"Battiste, Jaime",Sydney—Victoria,Liberal,113583.12,15965.79,0,25608.93
"Fry, Hon. Hedy",Vancouver Centre,Liberal,81575.39,15997.05,1848.65,67129.2
"Kwan, Jenny",Vancouver East,New Democratic Party,94148.74,18300.41,136,57066.66
"Noormohamed, Taleeb",Vancouver Granville,Liberal,76510.85,33851.59,996.05,92166.21
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,0,22024.24,0,366.23
"Davies, Don",Vancouver Kingsway,New Democratic Party,86518.55,29787.29,1192.95,25998.23
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,105455.48,34862.51,0,22771.67
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,65817.27,19224.91,1830,30590.91
"Collins, Laurel",Victoria,New Democratic Party,112891.32,24347.05,84.83,27905.64
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,100643.03,26860.59,204.59,28149.51
